x,Train,Test
-8.618618965148925781e+00,-7.450983418255363840e+17,-1.674750439590398669e+08
-8.598598480224609375e+00,-7.192727786778917120e+17,-1.647718626123752892e+08
-8.578578948974609375e+00,-6.942854701950494720e+17,-1.621062415361844897e+08
-8.558558464050292969e+00,-6.701087931319541760e+17,-1.594774943693158329e+08
-8.538538932800292969e+00,-6.467205137930862080e+17,-1.568854431831827760e+08
-8.518518447875976562e+00,-6.240945513090022400e+17,-1.543294165973471403e+08
-8.498498916625976562e+00,-6.022098785420382720e+17,-1.518092376706085801e+08
-8.478478431701660156e+00,-5.810418774420904960e+17,-1.493242497309208810e+08
-8.458458900451660156e+00,-5.605706674533630080e+17,-1.468742768746469319e+08
-8.438438415527343750e+00,-5.407730175530040320e+17,-1.444586768698318899e+08
-8.418418884277343750e+00,-5.216301364933178880e+17,-1.420772748986284137e+08
-8.398398399353027344e+00,-5.031201080887655040e+17,-1.397294429048478901e+08
-8.378378868103027344e+00,-4.852251757193594880e+17,-1.374150072027443349e+08
-8.358358383178710938e+00,-4.679246692933281280e+17,-1.351333536514995694e+08
-8.338338851928710938e+00,-4.512018146263863040e+17,-1.328843097419027835e+08
-8.318318367004394531e+00,-4.350371222736899200e+17,-1.306672749919933528e+08
-8.298298835754394531e+00,-4.194147506817680000e+17,-1.284820781116879284e+08
-8.278278350830078125e+00,-4.043163287587434240e+17,-1.263281320252083391e+08
-8.258257865905761719e+00,-3.897262169190677760e+17,-1.242051663069930077e+08
-8.238238334655761719e+00,-3.756291525869985280e+17,-1.221129082247389704e+08
-8.218217849731445312e+00,-3.620083319691024640e+17,-1.200507903466149569e+08
-8.198198318481445312e+00,-3.488500419958509440e+17,-1.180186446049455553e+08
-8.178177833557128906e+00,-3.361384543916931200e+17,-1.160159163588884920e+08
-8.158158302307128906e+00,-3.238606318204142080e+17,-1.140424388949745148e+08
-8.138137817382812500e+00,-3.120016692127007360e+17,-1.120976701237563044e+08
-8.118118286132812500e+00,-3.005493647440702080e+17,-1.101814447207096517e+08
-8.098097801208496094e+00,-2.894896868126148480e+17,-1.082932329118268192e+08
-8.078078269958496094e+00,-2.788111307759087040e+17,-1.064328707946168184e+08
-8.058057785034179688e+00,-2.685004912183323840e+17,-1.045998406781511009e+08
-8.038038253784179688e+00,-2.585469241620930240e+17,-1.027939801134431362e+08
-8.018017768859863281e+00,-2.489380054440000320e+17,-1.010147832638356388e+08
-7.997998237609863281e+00,-2.396635169690085120e+17,-9.926208916373342276e+07
-7.977978229522705078e+00,-2.307119825766776960e+17,-9.753544442257717252e+07
-7.957958221435546875e+00,-2.220731486057860160e+17,-9.583456713512471318e+07
-7.937938213348388672e+00,-2.137368508186256640e+17,-9.415913655713999271e+07
-7.917918205261230469e+00,-2.056932305825296000e+17,-9.250883514138107002e+07
-7.897898197174072266e+00,-1.979327264295195840e+17,-9.088334851367810369e+07
-7.877878189086914062e+00,-1.904460658283146240e+17,-8.928236544913075864e+07
-7.857857704162597656e+00,-1.832240882390691200e+17,-8.770554057817322016e+07
-7.837837696075439453e+00,-1.762584189938709760e+17,-8.615264400943155587e+07
-7.817817687988281250e+00,-1.695404299335509120e+17,-8.462333598136617243e+07
-7.797797679901123047e+00,-1.630619260803311360e+17,-8.311731763057966530e+07
-7.777777671813964844e+00,-1.568149632731152000e+17,-8.163429312571188807e+07
-7.757757663726806641e+00,-1.507918411158157120e+17,-8.017396964434769750e+07
-7.737737655639648438e+00,-1.449850961062944640e+17,-7.873605735004226863e+07
-7.717717647552490234e+00,-1.393874949417468000e+17,-7.732026936946326494e+07
-7.697697639465332031e+00,-1.339920279964401760e+17,-7.592632176964980364e+07
-7.677677631378173828e+00,-1.287919029678067680e+17,-7.455393353538803756e+07
-7.657657623291015625e+00,-1.237805386869705120e+17,-7.320282654670275748e+07
-7.637637615203857422e+00,-1.189515590898701280e+17,-7.187272555646485090e+07
-7.617617607116699219e+00,-1.142987873452201280e+17,-7.056335816811449826e+07
-7.597597599029541016e+00,-1.098162401356294720e+17,-6.927445481349940598e+07
-7.577577590942382812e+00,-1.054981220882758560e+17,-6.800574873082816601e+07
-7.557557582855224609e+00,-1.013388203516067840e+17,-6.675697594273826480e+07
-7.537537574768066406e+00,-9.733289931461529600e+16,-6.552787523447850347e+07
-7.517517566680908203e+00,-9.347509546530881600e+16,-6.431818813220527023e+07
-7.497497558593750000e+00,-8.976031238506249600e+16,-6.312765888139295578e+07
-7.477477550506591797e+00,-8.618361587561728000e+16,-6.195603442535754293e+07
-7.457457542419433594e+00,-8.274022921555331200e+16,-6.080306438389353454e+07
-7.437437534332275391e+00,-7.942552854313456000e+16,-5.966850103202367574e+07
-7.417417526245117188e+00,-7.623503836248929600e+16,-5.855209927886133641e+07
-7.397397518157958984e+00,-7.316442717015390400e+16,-5.745361664658512920e+07
-7.377377510070800781e+00,-7.020950319907267200e+16,-5.637281324952552468e+07
-7.357357501983642578e+00,-6.736621027720798400e+16,-5.530945177336319536e+07
-7.337337493896484375e+00,-6.463062379797749600e+16,-5.426329745443860441e+07
-7.317317485809326172e+00,-6.199894679979448000e+16,-5.323411805917294323e+07
-7.297297477722167969e+00,-5.946750615204624800e+16,-5.222168386359956115e+07
-7.277277469635009766e+00,-5.703274884490543200e+16,-5.122576763300612569e+07
-7.257257461547851562e+00,-5.469123838042305600e+16,-5.024614460168693960e+07
-7.237237453460693359e+00,-5.243965126241031200e+16,-4.928259245280493051e+07
