x,Train,Test
-8.558558464050292969e+00,-1.128290305022989464e+10,-4.241291175186631083e+07
-8.538538932800292969e+00,-1.115544414451965904e+10,-4.213992788951133192e+07
-8.518518447875976562e+00,-1.102802750056711197e+10,-4.186501794993977994e+07
-8.498498916625976562e+00,-1.090069193473786736e+10,-4.158826497916670144e+07
-8.478478431701660156e+00,-1.077345176945868492e+10,-4.130969961144135147e+07
-8.458458900451660156e+00,-1.064634534536252022e+10,-4.102940550716457516e+07
-8.438438415527343750e+00,-1.051938652942905998e+10,-4.074741319082064182e+07
-8.418418884277343750e+00,-1.039261314024957657e+10,-4.046380683847729862e+07
-8.398398399353027344e+00,-1.026603856362180138e+10,-4.017861680995385349e+07
-8.378378868103027344e+00,-1.013970005136640930e+10,-3.989192769872863591e+07
-8.358358383178710938e+00,-1.001361048359452438e+10,-3.960376964571869373e+07
-8.338338851928710938e+00,-9.887806502288024902e+09,-3.931422756418825686e+07
-8.318318367004394531e+00,-9.762300458649066925e+09,-3.902333132268667221e+07
-8.298298835754394531e+00,-9.637128343488777161e+09,-3.873116605743671209e+07
-8.278278350830078125e+00,-9.512301957208482742e+09,-3.843776131203303486e+07
-8.258257865905761719e+00,-9.387850680997684479e+09,-3.814318829090970010e+07
-8.238238334655761719e+00,-9.263803500716684341e+09,-3.784751833773838729e+07
-8.218217849731445312e+00,-9.140171352529041290e+09,-3.755078041225075722e+07
-8.198198318481445312e+00,-9.016988430498796463e+09,-3.725305979112788290e+07
-8.178177833557128906e+00,-8.894265071358547211e+09,-3.695438498219098896e+07
-8.158158302307128906e+00,-8.772034687982110977e+09,-3.665484115476240963e+07
-8.138137817382812500e+00,-8.650307000755578995e+09,-3.635445631603059173e+07
-8.118118286132812500e+00,-8.529114608638324738e+09,-3.605331543666310608e+07
-8.098097801208496094e+00,-8.408466600249954224e+09,-3.575144597580811381e+07
-8.078078269958496094e+00,-8.288394729967550278e+09,-3.544893261581607163e+07
-8.058057785034179688e+00,-8.168907440744586945e+09,-3.514580222178838402e+07
-8.038038253784179688e+00,-8.050035613804147720e+09,-3.484213909986604750e+07
-8.018017768859863281e+00,-7.931787034074535370e+09,-3.453796947658011317e+07
-7.997998237609863281e+00,-7.814191683183256149e+09,-3.423337719586997479e+07
-7.977978229522705078e+00,-7.697259454252271652e+09,-3.392839507093171775e+07
-7.957958221435546875e+00,-7.581011073965415955e+09,-3.362308459494011849e+07
-7.937938213348388672e+00,-7.465464055037908554e+09,-3.331749967589802667e+07
-7.917918205261230469e+00,-7.350635501375146866e+09,-3.301169387156473473e+07
-7.897898197174072266e+00,-7.236542104725189209e+09,-3.270572037466423959e+07
-7.877878189086914062e+00,-7.123200141567674637e+09,-3.239963199835094810e+07
-7.857857704162597656e+00,-7.010622798193735123e+09,-3.209347386969750002e+07
-7.837837696075439453e+00,-6.898830875074001312e+09,-3.178731258501679450e+07
-7.817817687988281250e+00,-6.787836696065219879e+09,-3.148119244281094521e+07
-7.797797679901123047e+00,-6.677654850182636261e+09,-3.117516459791784734e+07
-7.777777671813964844e+00,-6.568299499163595200e+09,-3.086927975696140900e+07
-7.757757663726806641e+00,-6.459784375772615433e+09,-3.056358816545946896e+07
-7.737737655639648438e+00,-6.352122782340656281e+09,-3.025813959522046149e+07
-7.717717647552490234e+00,-6.245327589537614822e+09,-2.995298333203211799e+07
-7.697697639465332031e+00,-6.139411235377023697e+09,-2.964816816364600509e+07
-7.677677631378173828e+00,-6.034385724451595306e+09,-2.934374236806114018e+07
-7.657657623291015625e+00,-5.930262627398330688e+09,-2.903975370210971311e+07
-7.637637615203857422e+00,-5.827053080591629028e+09,-2.873624939034812525e+07
-7.617617607116699219e+00,-5.724767786062641144e+09,-2.843327611425577849e+07
-7.597597599029541016e+00,-5.623417011643138885e+09,-2.813088000174444914e+07
-7.577577590942382812e+00,-5.523010591331962585e+09,-2.782910661698044464e+07
-7.557557582855224609e+00,-5.423557925881763458e+09,-2.752800095052178204e+07
-7.537537574768066406e+00,-5.325067983604036331e+09,-2.722760740977233648e+07
-7.517517566680908203e+00,-5.227549301389959335e+09,-2.692796980975485593e+07
-7.497497558593750000e+00,-5.131009985944461823e+09,-2.662913136420421302e+07
-7.477477550506591797e+00,-5.035457715231107712e+09,-2.633113467698258907e+07
-7.457457542419433594e+00,-4.940899740124870300e+09,-2.603402173381762207e+07
-7.437437534332275391e+00,-4.847342886269979477e+09,-2.573783389436449483e+07
-7.417417526245117188e+00,-4.754793556139862061e+09,-2.544261188459303230e+07
-7.397397518157958984e+00,-4.663257731296106339e+09,-2.514839578950029612e+07
-7.377377510070800781e+00,-4.572740974843175888e+09,-2.485522504614907876e+07
-7.357357501983642578e+00,-4.483248434075561523e+09,-2.456313843703285232e+07
-7.337337493896484375e+00,-4.394784843313999176e+09,-2.427217408376693353e+07
-7.317317485809326172e+00,-4.307354526927127838e+09,-2.398236944110608846e+07
-7.297297477722167969e+00,-4.220961402535089493e+09,-2.369376129128810018e+07
-7.277277469635009766e+00,-4.135608984391204834e+09,-2.340638573870300874e+07
-7.257257461547851562e+00,-4.051300386937999725e+09,-2.312027820488732308e+07
-7.237237453460693359e+00,-3.968038328533691406e+09,-2.283547342384247109e+07
