t	Dynamometr	EMG
1.585	30.4478	0.953369
1.59	30.4478	-0.249329
1.595	30.4653	-0.4422
1.6	30.4478	-2.6123
1.605	30.4304	1.90948
1.61	30.4129	0.363464
1.615	30.3955	-0.438538
1.62	30.3781	-0.25177
1.625	30.3781	0.108032
1.63	30.3781	-0.447998
1.635	30.3781	-0.253906
1.64	30.3781	-0.578613
1.645	30.3781	0.779724
1.65	30.3781	-1.94
1.655	30.3606	1.79443
1.66	30.3432	2.22046
1.665	30.3258	0.21759
1.67	30.3258	-0.808105
1.675	30.3258	-0.266418
1.68	30.3083	0.63446
1.685	30.2909	-0.538635
1.69	30.2734	0.0164795
1.695	30.2734	0.834351
1.7	30.2734	-0.61554
1.705	30.2909	-0.887756
1.71	30.2909	1.4325
1.715	30.2734	0.0109863
1.72	30.2734	0.811157
1.725	30.2734	-0.799255
1.73	30.2734	0.647888
1.735	30.2734	-1.62292
1.74	30.2734	0.192871
1.745	30.2734	0.682983
1.75	30.2909	0.942993
1.755	30.2909	-0.787964
1.76	30.2909	0.632935
1.765	30.2909	0.992432
1.77	30.2909	0.121765
1.775	30.3083	-1.09039
1.78	30.3258	1.39435
1.785	30.3432	-0.474243
1.79	30.3606	0.973511
1.795	30.3606	-0.656433
1.8	30.3606	-1.05499
1.805	30.3606	-0.62561
1.81	30.3606	-1.25854
1.815	30.3606	1.96136
1.82	30.3432	0.729675
1.825	30.3258	0.353699
1.83	30.3258	0.664368
1.835	30.3258	0.388794
1.84	30.3432	1.30035
1.845	30.3606	0.85968
1.85	30.3606	-1.60919
1.855	30.3606	0.834351
1.86	30.3606	-0.0289917
1.865	30.3606	0.476074
1.87	30.3606	0.395813
1.875	30.3606	1.45935
1.88	30.3606	0.062561
1.885	30.3781	0.144043
1.89	30.4129	-0.527649
1.895	30.4478	-0.0897217
1.9	30.4478	0.102844
1.905	30.4478	-0.673218
1.91	30.4304	-1.29974
1.915	30.4304	1.89911
1.92	30.4304	0.339661
1.925	30.4478	0.158386
1.93	30.4653	0.0411987
1.935	30.4827	0.152588
1.94	30.5001	-1.96259
1.945	30.5001	-0.203247
1.95	30.5176	0.110779
1.955	30.535	-0.245972
1.96	30.5525	0.162964
1.965	30.5699	0.366211
1.97	30.5699	0.634766
1.975	30.5873	-0.356445
1.98	30.6048	-0.0140381
1.985	30.6222	0.627136
1.99	30.6222	-0.502319
1.995	30.6222	-1.06293
2	30.6048	-0.198669
2.005	30.5873	-0.9021
2.01	30.5699	1.2854
2.015	30.535	-0.637512
2.02	30.5001	1.61469
2.025	30.4827	-0.419617
2.03	30.4827	-0.545959
2.035	30.4827	-0.357971
2.04	30.5001	-0.890503
2.045	30.5001	0.0875854
2.05	30.5001	-0.887451
2.055	30.5001	-1.96259
2.06	30.4827	1.99158
2.065	30.4653	0.374451
2.07	30.4304	-0.207825
2.075	30.4129	-0.341797
2.08	30.3955	-0.924988
2.085	30.3955	-0.595703
2.09	30.3955	0.929565
2.095	30.3955	-2.34955
2.1	30.3955	1.96716
2.105	30.3781	0.424194
2.11	30.3606	0.809021
2.115	30.3606	-0.397644
2.12	30.3606	-1.0675
2.125	30.3781	-1.91254
2.13	30.3781	0.017395
2.135	30.3606	0.540466
2.14	30.3432	1.82739
2.145	30.3083	-0.170593
2.15	30.3083	-0.855103
2.155	30.3083	0.332031
2.16	30.3083	0.0622559
2.165	30.3083	-0.453186
2.17	30.3083	-0.418701
2.175	30.2909	0.27832
2.18	30.2909	0.328369
2.185	30.3083	0.88562
2.19	30.3083	0.375366
2.195	30.3083	-0.0265503
2.2	30.2909	-0.164185
2.205	30.2734	0.366516
2.21	30.2386	0.0430298
2.215	30.2211	-0.388794
2.22	30.1862	-0.032959
2.225	30.1514	0.581055
2.23	30.1339	0.41626
2.235	30.1514	-0.424194
2.24	30.1514	0.403442
2.245	30.1688	-0.368042
2.25	30.1688	-0.463867
2.255	30.1688	0.174561
2.26	30.1514	0.665894
2.265	30.1339	-0.250244
2.27	30.0991	0.369263
2.275	30.0642	-2.26166
2.28	30.0293	0.583496
2.285	30.0119	0.172119
2.29	29.9944	-0.177917
2.295	29.9944	-0.614624
2.3	29.9944	0.667725
2.305	29.9944	-0.872803
2.31	29.9944	0.510559
2.315	29.9944	-0.48584
2.32	30.0119	-0.904236
2.325	30.0293	-1.39099
2.33	30.0293	1.8042
2.335	30.0119	-0.756836
2.34	29.9944	-0.175781
2.345	29.9944	0.779419
2.35	30.0119	0.2005
2.355	30.0293	-0.508728
2.36	30.0642	-0.42572
2.365	30.0816	-0.617676
2.37	30.0991	-0.300903
2.375	30.0816	-0.407104
2.38	30.0642	-0.867004
2.385	30.0119	0.610962
2.39	29.977	-0.533752
2.395	29.9421	-1.38397
2.4	29.9421	2.67883
2.405	29.9421	-0.115356
2.41	29.9595	-0.736694
2.415	29.9595	1.39435
2.42	29.9595	-0.21759
2.425	29.9595	-0.543213
2.43	29.9595	-0.909424
2.435	29.9421	0.209351
2.44	29.9247	0.934143
2.445	29.9072	-0.0286865
2.45	29.8723	0.0811768
2.455	29.8723	0.544739
2.46	29.8549	0.473938
2.465	29.8549	-0.336304
2.47	29.82	0.174866
2.475	29.7852	1.21979
2.48	29.7852	0.179749
2.485	29.7852	0.69458
2.49	29.7852	-0.901489
2.495	29.7852	0.707397
2.5	29.8026	0.71167
2.505	29.82	-0.147095
2.51	29.82	0.224304
2.515	29.82	-2.18109
2.52	29.82	0.838318
2.525	29.82	2.32727
2.53	29.82	0.221863
2.535	29.82	0.107117
2.54	29.82	0.25238
2.545	29.82	-0.263367
2.55	29.82	0.545654
2.555	29.82	-0.916138
2.56	29.8026	0.221558
2.565	29.7677	1.19019
2.57	29.698	-0.0946045
2.575	29.6282	-0.194397
2.58	29.5759	1.0498
2.585	29.5585	-0.142822
2.59	29.5585	0.351257
2.595	29.5585	-1.21216
2.6	29.5585	1.56738
2.605	29.541	-0.102539
2.61	29.541	-0.532837
2.615	29.541	-0.782776
2.62	29.5236	1.47552
2.625	29.5236	0.713196
2.63	29.5061	-1.28754
2.635	29.5061	0.950012
2.64	29.5236	-0.349426
2.645	29.5236	-0.636292
2.65	29.5236	-1.07361
2.655	29.5061	0.814514
2.66	29.4887	-0.421448
2.665	29.4538	0.022583
2.67	29.4189	0.358276
2.675	29.4015	0.627747
2.68	29.4015	0.610962
2.685	29.4189	-0.344238
2.69	29.4364	1.36383
2.695	29.4538	0.610352
2.7	29.4538	-1.2915
2.705	29.4364	0.395508
2.71	29.4189	1.38336
2.715	29.4189	-0.202026
2.72	29.4189	-1.45538
2.725	29.4538	1.26953
2.73	29.5061	-0.108643
2.735	29.5585	-0.484009
2.74	29.5933	-0.618896
2.745	29.5933	1.60675
2.75	29.5933	-0.512085
2.755	29.6282	1.12518
2.76	29.6805	-0.773315
2.765	29.7503	0.48584
2.77	29.7677	0.0228882
2.775	29.7677	-1.1026
2.78	29.7503	0.643311
2.785	29.7503	1.185
2.79	29.7503	1.31287
2.795	29.7677	0.600281
2.8	29.7677	1.07208
2.805	29.7852	-0.447083
2.81	29.82	0.178528
2.815	29.8549	0.118408
2.82	29.8898	-0.9375
2.825	29.8898	0.391846
2.83	29.8723	-0.350037
2.835	29.8723	0.952454
2.84	29.8549	1.18378
2.845	29.8549	1.22223
2.85	29.8549	-0.273438
2.855	29.8898	0.268555
2.86	29.9072	0.645142
2.865	29.9421	0.0692749
2.87	29.977	-0.929565
2.875	30.0293	-0.0543213
2.88	30.0642	1.53564
2.885	30.0991	0.238647
2.89	30.1165	0.274353
2.895	30.1339	-1.88202
2.9	30.1339	-0.385742
2.905	30.1165	0.0646973
2.91	30.0642	-0.310059
2.915	30.0293	0.31189
2.92	29.9944	0.418091
2.925	29.977	0.800171
2.93	29.977	1.10077
2.935	29.977	2.07855
2.94	29.977	-0.265198
2.945	29.977	0.343628
2.95	29.9944	0.76416
2.955	29.9944	0.35675
2.96	30.0119	-1.17462
2.965	30.0119	-0.0469971
2.97	30.0119	-0.254822
2.975	30.0293	-0.794067
2.98	30.0642	-0.393982
2.985	30.1339	-0.123596
2.99	30.1862	-0.729065
2.995	30.2211	0.813904
3	30.2386	-1.06934
3.005	30.2386	0.867004
3.01	30.2386	1.14899
3.015	30.256	-1.18134
3.02	30.2734	-1.01593
3.025	30.2909	0.812073
3.03	30.3083	0.921326
3.035	30.3083	-0.809937
3.04	30.3083	1.3269
3.045	30.3083	-0.0888062
3.05	30.2909	0.753479
3.055	30.2909	-0.853882
3.06	30.3083	-1.37238
3.065	30.3258	1.48438
3.07	30.3432	0.612488
3.075	30.3432	-0.355225
3.08	30.3432	0.90271
3.085	30.3606	-1.88446
3.09	30.3781	1.8335
3.095	30.3955	0.879211
3.1	30.3955	-0.0311279
3.105	30.3955	-0.419617
3.11	30.3955	0.713806
