tm,Dynamometr,EMG
0.01925,-3.03432,0.00152588
0.0193333,-3.05176,-0.00518799
0.0194167,-3.0692,-0.00823975
0.0195,-3.08664,-0.0088501
0.0195833,-3.08664,0.00518799
0.0196667,-3.10407,0.0149536
0.01975,-3.13895,0.00305176
0.0198333,-3.17383,-0.0259399
0.0199167,-3.20871,-0.00762939
0.02,-3.24358,0.012207
0.0200833,-3.26102,-0.0213623
0.0201667,-3.26102,-0.00213623
0.02025,-3.26102,-0.0119019
0.0203333,-3.27846,0.0167847
0.0204167,-3.2959,-0.000915527
0.0205,-3.33078,0.0112915
0.0205833,-3.36565,-0.0204468
0.0206667,-3.41797,-0.00305176
0.02075,-3.47028,-0.00335693
0.0208333,-3.50516,0.0128174
0.0209167,-3.5226,-0.0170898
0.021,-3.54004,-0.0189209
0.0210833,-3.54004,0.0186157
0.0211667,-3.55748,0.0180054
0.02125,-3.59235,-0.00305176
0.0213333,-3.60979,0.0271606
0.0214167,-3.62723,-0.00793457
0.0215,-3.64467,-0.0161743
0.0215833,-3.67955,-0.0598145
0.0216667,-3.69699,0.00823975
0.02175,-3.71443,0.0253296
0.0218333,-3.71443,0.00396729
0.0219167,-3.69699,0.0485229
0.022,-3.69699,-0.0088501
0.0220833,-3.67955,0.0186157
0.0221667,-3.67955,-0.00549316
0.02225,-3.67955,-0.0543213
0.0223333,-3.67955,0.00823975
0.0224167,-3.66211,0.012207
0.0225,-3.66211,-0.0234985
0.0225833,-3.64467,-0.0128174
0.0226667,-3.64467,-0.0375366
0.02275,-3.62723,-0.0131226
0.0228333,-3.60979,0.0378418
0.0229167,-3.59235,0.0167847
0.023,-3.57492,0.0637817
0.0230833,-3.57492,0.00976563
0.0231667,-3.55748,-0.0338745
0.02325,-3.5226,-0.0891113
0.0233333,-3.48772,-0.0891113
0.0234167,-3.41797,-0.0592041
0.0235,-3.34821,0.1297
0.0235833,-3.2959,0.0201416
0.0236667,-3.22614,0
0.02375,-3.17383,0.0384521
0.0238333,-3.10407,-0.0149536
0.0239167,-3.01688,-0.000915527
0.024,-2.92969,-0.0457764
0.0240833,-2.85993,0.114136
0.0241667,-2.80762,0.0332642
0.02425,-2.7553,0.0317383
